bidder_id,tender_id,company_name,legal_structure,registered_state,registered_address,bank_branch_code,conflict_links_count,scenario_type,cibil_trust_score,annual_turnover_inr,gstin,pan,cin,udyam_number,epfo_code,managing_director_name,managing_director_din,is_director_debarred,submitted_documents_count
BID-2026-0891,GEM/2026/B/89420,Apex InfraTech Private Limited,Private Limited,Maharashtra,"Plot 45, Andheri East, Mumbai, Maharashtra",SBIN0004921,0,COMPLIANT_MODEL_BIDDER,,45000000.0,27AABCA1234F1Z5,AABCA1234F,U72200MA2018PTC084129,UDYAM-MH-01-0012345,MA/BAN/0008412/000,Rajiv Mehta,08412910,False,4
BID-2026-0442,GEM/2026/B/89420,Bharat Heavy Logistics Solutions,LLP,Gujarat,"B-402, SG Highway, Ahmedabad, Gujarat",HDFC0001842,0,DOCUMENT_MISMATCH_SUSPICIOUS,,45000000.0,24AAACB9876Q1Z3,AAACB9876Q,U72200GU2018PTC071982,UDYAM-GJ-04-0098412,GU/BAN/0007198/000,Suresh Patel,07198234,False,4
BID-2026-0109,GEM/2026/B/89420,Vanguard Defense & Engineering Works,Private Limited,Delhi,"Plot 12, Phase-II, Okhla Ind Area, Delhi, Delhi",SBIN0004921,3,HARD_FAIL_DEBARRED_VENDOR,,85000000.0,07AAACV7788P1Z8,AAACV7788P,U72200DE2018PTC019283,,DE/BAN/0001928/000,Vikram Malhotra,01928374,True,4
BID-2026-0112,GEM/2026/B/89420,Param Quantum Computing Systems Ltd,Public Limited,Karnataka,"Electronic City Phase 1, Bangalore, Karnataka",ICIC0001092,0,COMPLIANT_MODEL_BIDDER,,120000000.0,29AAACP5544R1Z1,AAACP5544R,U72200KA2018PTC029182,,KA/BAN/0002918/000,Dr. Anand Rao,02918234,False,4
BID-2026-0115,GEM/2026/B/89420,Garuda AeroTech & Cyber Solutions,Private Limited,Telangana,"HITEC City, Madhapur, Hyderabad, Telangana",KKBK0000512,0,COMPLIANT_MODEL_BIDDER,,38000000.0,36AAACG4411K1Z9,AAACG4411K,U72200TE2018PTC061298,UDYAM-TS-08-0033182,TE/BAN/0006129/000,Venkat Reddy,06129845,False,4
BID-2026-0118,GEM/2026/B/89420,Trishul Defense Informatics LLP,LLP,Uttar Pradesh,"Sector 62, Noida, Gautam Buddha Nagar, Uttar Pradesh",PUNB0029100,0,DOCUMENT_MISMATCH_SUSPICIOUS,,28000000.0,09AABCT8812N1Z4,AABCT8812N,U72200UT2018PTC058291,UDYAM-UP-12-0089123,UT/BAN/0005829/000,Manoj Saxena,05829104,False,4
BID-2026-0121,GEM/2026/B/89420,Vayu Networks & Server Grid Pvt Ltd,Private Limited,Tamil Nadu,"Tidel Park, OMR, Chennai, Tamil Nadu",BARB0OMRCHE,0,COMPLIANT_MODEL_BIDDER,,62000000.0,33AAACV3399J1Z7,AAACV3399J,U72200TA2018PTC047192,,TA/BAN/0004719/000,K. Swaminathan,04719283,False,4
BID-2026-0124,GEM/2026/B/89420,Shakti Secure Datacenters Corp,Private Limited,Maharashtra,"MIDC Hinjewadi, Pune, Maharashtra",SBIN0008812,0,DOCUMENT_MISMATCH_SUSPICIOUS,,51000000.0,27AABCS7744M1Z2,AABCS7744M,U72200MA2018PTC031928,UDYAM-MH-14-0091823,MA/BAN/0003192/000,Prashant Kulkarni,03192847,False,4
BID-2026-0127,GEM/2026/B/89420,Astra Cloud & AI Innovations Pvt Ltd,Private Limited,Delhi,"Barakhamba Road, Connaught Place, New Delhi, Delhi",HDFC0000120,0,COMPLIANT_MODEL_BIDDER,,94000000.0,07AAACA1122L1Z6,AAACA1122L,U72200DE2018PTC018294,UDYAM-DL-01-0077192,DE/BAN/0001829/000,Deepak Varma,01829471,False,4
BID-2026-0130,GEM/2026/B/89420,Raksha Cyber Labs Private Limited,Private Limited,Delhi,"Plot 14, Phase-II, Okhla Ind Area, Delhi, Delhi",SBIN0004921,2,HARD_FAIL_DEBARRED_VENDOR,,42000000.0,07AAACR9988C1Z0,AAACR9988C,U72200DE2018PTC081928,,DE/BAN/0008192/000,Rohan Malhotra,08192833,True,4
BID-2026-0133,GEM/2026/B/89420,Bharat Mission Cloud Services LLP,LLP,Rajasthan,"Sitapura Industrial Area, Jaipur, Rajasthan",ICIC0002819,0,COMPLIANT_MODEL_BIDDER,,24000000.0,08AABCB2233P1Z5,AABCB2233P,U72200RA2018PTC051928,UDYAM-RJ-06-0022819,RA/BAN/0005192/000,Gaurav Sharma,05192837,False,4
BID-2026-0136,GEM/2026/B/89420,Indus AI Systems & Hardware Pvt Ltd,Private Limited,Haryana,"Cyber Hub, DLF Phase 2, Gurugram, Haryana",UTIB0000812,0,DOCUMENT_MISMATCH_SUSPICIOUS,,78000000.0,06AAACI6655Q1Z8,AAACI6655Q,U72200HA2018PTC074829,UDYAM-HR-04-0055192,HA/BAN/0007482/000,Sunil Grover,07482910,False,4
BID-2026-0139,GEM/2026/B/89420,Surya Defense Telematics,Partnership,Madhya Pradesh,"Pithampur Industrial Area, Indore, Madhya Pradesh",BKID0004491,0,COMPLIANT_MODEL_BIDDER,,31000000.0,23AAAFS9900H1Z3,AAAFS9900H,U72200MA2018PTC041928,,MA/BAN/0004192/000,Harish Chawla,04192837,False,4
BID-2026-0142,GEM/2026/B/89420,Pragati IT Infrastructure Solutions,Private Limited,West Bengal,"Salt Lake Sector V, Kolkata, West Bengal",UBIN0532819,0,COMPLIANT_MODEL_BIDDER,,58000000.0,19AAACP4433D1Z1,AAACP4433D,U72200WE2018PTC021982,,WE/BAN/0002198/000,Subrata Sen,02198274,False,4
BID-2026-0145,GEM/2026/B/89420,Kestrel Tactical Embedded Systems,Private Limited,Punjab,"Industrial Focal Point, Mohali, Punjab",PUNB0049102,0,DOCUMENT_MISMATCH_SUSPICIOUS,,22000000.0,03AAACK1199F1Z9,AAACK1199F,U72200PU2018PTC068291,UDYAM-PB-11-0033819,PU/BAN/0006829/000,Gurpreet Singh,06829103,False,4
BID-2026-0201,GEM/2026/B/77312,Sanjeevani MedTech Diagnostic Devices,Private Limited,Maharashtra,"Chakala, Andheri East, Mumbai, Maharashtra",SBIN0001234,0,COMPLIANT_MODEL_BIDDER,,185000000.0,27AAACS1122A1Z4,AAACS1122A,U72200MA2018PTC011293,UDYAM-MH-01-0088123,MA/BAN/0001129/000,Dr. Arvind Joshi,01129384,False,4
BID-2026-0204,GEM/2026/B/77312,Dhanvantari Bio-Imaging Solutions Ltd,Public Limited,Karnataka,"Whitefield, Bangalore, Karnataka",HDFC0004812,0,COMPLIANT_MODEL_BIDDER,,340000000.0,29AAACD9988B1Z7,AAACD9988B,U72200KA2018PTC028192,,KA/BAN/0002819/000,Ramesh Narayan,02819283,False,4
BID-2026-0207,GEM/2026/B/77312,Medicare Allied Surgical Imports LLP,LLP,Delhi,"Netaji Subhash Place, Pitampura, New Delhi, Delhi",ICIC0000912,0,DOCUMENT_MISMATCH_SUSPICIOUS,,65000000.0,07AABCM7766C1Z1,AABCM7766C,U72200DE2018PTC039182,UDYAM-DL-03-0044812,DE/BAN/0003918/000,Ashok Singhal,03918274,False,4
BID-2026-0210,GEM/2026/B/77312,Arogya Diagnostic Systems Pvt Ltd,Private Limited,Tamil Nadu,"Guindy Industrial Estate, Chennai, Tamil Nadu",BARB0GUINDY,0,COMPLIANT_MODEL_BIDDER,,92000000.0,33AAACA4433D1Z9,AAACA4433D,U72200TA2018PTC048192,UDYAM-TN-02-0055182,TA/BAN/0004819/000,S. Chandrasekhar,04819283,False,4
BID-2026-0213,GEM/2026/B/77312,Lifeline Healthcare Robotics,Private Limited,Telangana,"Gachibowli, Hyderabad, Telangana",KKBK0001928,0,COMPLIANT_MODEL_BIDDER,,145000000.0,36AAACL8899E1Z2,AAACL8899E,U72200TE2018PTC051928,,TE/BAN/0005192/000,Naveen Prasad,05192834,False,4
BID-2026-0216,GEM/2026/B/77312,Medico Global Supply Chain Pvt Ltd,Private Limited,Delhi,"Patparganj Industrial Area, Delhi, Delhi",SBIN0008819,2,HARD_FAIL_DEBARRED_VENDOR,,48000000.0,07AAACM3322F1Z8,AAACM3322F,U72200DE2018PTC061928,,DE/BAN/0006192/000,Rajender Aggarwal,06192837,True,4
BID-2026-0219,GEM/2026/B/77312,AyurVeda AI Diagnostic Equipments,Private Limited,Kerala,"Infopark, Kakkanad, Kochi, Kerala",FDRL0001829,0,COMPLIANT_MODEL_BIDDER,,88000000.0,32AAACA7788G1Z5,AAACA7788G,U72200KE2018PTC071829,UDYAM-KL-07-0099182,KE/BAN/0007182/000,Thomas Varghese,07182934,False,4
BID-2026-0222,GEM/2026/B/77312,National MedScan & X-Ray Systems,Private Limited,Gujarat,"Makarpura GIDC, Vadodara, Gujarat",UBIN0544192,0,DOCUMENT_MISMATCH_SUSPICIOUS,,54000000.0,24AAACN2233H1Z3,AAACN2233H,U72200GU2018PTC081928,UDYAM-GJ-06-0033819,GU/BAN/0008192/000,Bhavesh Dave,08192834,False,4
BID-2026-0225,GEM/2026/B/77312,Pulse Biomedical Technologies Pvt Ltd,Private Limited,Uttar Pradesh,"Sector 59, Noida, Uttar Pradesh",PUNB0019283,0,COMPLIANT_MODEL_BIDDER,,72000000.0,09AAACP6655I1Z0,AAACP6655I,U72200UT2018PTC091827,,UT/BAN/0009182/000,Vipin Mathur,09182734,False,4
BID-2026-0228,GEM/2026/B/77312,HealthCare Informatics India LLP,LLP,Maharashtra,"Kalyani Nagar, Pune, Maharashtra",HDFC0001092,0,COMPLIANT_MODEL_BIDDER,,61000000.0,27AABCH4433J1Z8,AABCH4433J,U72200MA2018PTC019283,UDYAM-MH-14-0066182,MA/BAN/0001928/000,Anand Deshmukh,01928381,False,4
BID-2026-0231,GEM/2026/B/77312,CureTech Surgical & Radiography,Private Limited,Haryana,"Udyog Vihar, Gurugram, Haryana",ICIC0001829,0,DOCUMENT_MISMATCH_SUSPICIOUS,,110000000.0,06AAACC8877K1Z4,AAACC8877K,U72200HA2018PTC028192,,HA/BAN/0002819/000,Pankaj Sethi,02819273,False,4
BID-2026-0234,GEM/2026/B/77312,BioShield Labs & Diagnostics,Private Limited,Delhi,"Okhla Industrial Area Phase-1, Delhi, Delhi",SBIN0004921,2,HARD_FAIL_DEBARRED_VENDOR,,39000000.0,07AAACB5544L1Z2,AAACB5544L,U72200DE2018PTC037192,,DE/BAN/0003719/000,Sanjay Mittal,03719283,True,4
BID-2026-0237,GEM/2026/B/77312,Zenith Medical Instrumentation Ltd,Public Limited,Karnataka,"Peenya Industrial Area, Bangalore, Karnataka",KKBK0008819,0,COMPLIANT_MODEL_BIDDER,,290000000.0,29AAACZ1199M1Z9,AAACZ1199M,U72200KA2018PTC048192,,KA/BAN/0004819/000,K. R. Murthy,04819201,False,4
BID-2026-0240,GEM/2026/B/77312,MediEquip Supercomputing Pvt Ltd,Private Limited,Andhra Pradesh,"APIIC IT Park, Visakhapatnam, Andhra Pradesh",ANDB0001928,0,COMPLIANT_MODEL_BIDDER,,53000000.0,37AAACM7766N1Z7,AAACM7766N,U72200AN2018PTC059182,UDYAM-AP-03-0055182,AN/BAN/0005918/000,P. Srinivas,05918273,False,4
BID-2026-0243,GEM/2026/B/77312,Om HealthTech & Imaging Grid,Partnership,Rajasthan,"VKIA, Jaipur, Rajasthan",BKID0001829,0,DOCUMENT_MISMATCH_SUSPICIOUS,,41000000.0,08AAAFO3322P1Z3,AAAFO3322P,U72200RA2018PTC068192,UDYAM-RJ-06-0044192,RA/BAN/0006819/000,Kailash Agarwal,06819283,False,4
BID-2026-0301,GEM/2026/B/65109,Vidyut Motors & EV Fleet Private Limited,Private Limited,Maharashtra,"Chakan Industrial Area, Pune, Maharashtra",SBIN0004921,0,COMPLIANT_MODEL_BIDDER,,480000000.0,27AAACV1122Q1Z6,AAACV1122Q,U72200MA2018PTC011928,UDYAM-MH-14-0011928,MA/BAN/0001192/000,Ketan Shah,01192834,False,4
BID-2026-0304,GEM/2026/B/65109,Gati Green Mobility Innovations Ltd,Public Limited,Tamil Nadu,"Sriperumbudur, Chennai, Tamil Nadu",HDFC0001928,0,COMPLIANT_MODEL_BIDDER,,620000000.0,33AAACG9988R1Z2,AAACG9988R,U72200TA2018PTC029182,,TA/BAN/0002918/000,M. Balakrishnan,02918234,False,4
BID-2026-0307,GEM/2026/B/65109,Urja High-Capacity EV Solutions LLP,LLP,Gujarat,"Sanand GIDC, Ahmedabad, Gujarat",ICIC0004819,0,DOCUMENT_MISMATCH_SUSPICIOUS,,95000000.0,24AABCU7766S1Z9,AABCU7766S,U72200GU2018PTC038192,UDYAM-GJ-04-0088192,GU/BAN/0003819/000,Nilesh Zaveri,03819284,False,4
BID-2026-0310,GEM/2026/B/65109,E-Shakti Battery & Charger Systems,Private Limited,Karnataka,"Hosur Road, Electronic City, Bangalore, Karnataka",BARB0ELEBAN,0,COMPLIANT_MODEL_BIDDER,,210000000.0,29AAACE4433T1Z5,AAACE4433T,U72200KA2018PTC047192,UDYAM-KR-03-0066182,KA/BAN/0004719/000,Raghavendra Hegde,04719283,False,4
